TaskType,PriTaskModality,TargetSize,TargetDestDistance,PathDir,PriTaskElapsed,RotTaskElapsed,NumbWrongDeselection,NumbPathExit,PathFirstSegExit,PathMidSegExit,PathLastSegExit,NumbMismatchRotTask,Time Stamp
2,GazeGesture,medium,30.000,down,2.702,1.379,0,2,0,2,0,0,10Sep / 5:10:08 PM
2,GazeGesture,medium,20.000,up,2.623,1.681,0,3,0,1,2,0,10Sep / 5:10:13 PM
2,GazeGesture,medium,20.000,down,3.120,1.961,0,2,0,1,1,0,10Sep / 5:10:19 PM
2,GazeGesture,small,30.000,down,1.991,3.399,0,2,0,2,0,0,10Sep / 5:10:25 PM
2,GazeGesture,small,20.000,up,1.527,2.481,0,3,1,2,0,0,10Sep / 5:10:30 PM
2,GazeGesture,small,20.000,down,1.636,2.620,0,2,1,1,0,0,10Sep / 5:10:36 PM
2,GazeGesture,big,30.000,up,3.269,2.160,0,1,0,1,0,1,10Sep / 5:10:45 PM
2,GazeGesture,big,30.000,down,1.530,2.381,0,0,0,0,0,0,10Sep / 5:10:54 PM
2,GazeGesture,big,20.000,up,3.925,1.573,0,1,0,1,0,0,10Sep / 5:11:00 PM
2,GazeGesture,big,20.000,down,1.582,2.532,0,1,1,0,0,0,10Sep / 5:11:06 PM
2,GazeGesture,small,40.000,up,1.592,2.488,0,6,1,5,0,0,10Sep / 5:11:13 PM
2,GazeGesture,small,40.000,down,4.859,3.615,0,6,0,5,1,0,10Sep / 5:11:57 PM
2,GazeGesture,small,30.000,up,8.018,7.220,2,14,8,6,0,0,10Sep / 5:12:07 PM
2,GazeGesture,medium,30.000,down,12.071,13.634,2,3,1,2,0,0,10Sep / 5:12:25 PM
2,GazeGesture,medium,20.000,up,22.766,20.713,1,12,10,2,0,0,10Sep / 5:12:56 PM
2,GazeGesture,medium,20.000,down,3.044,1.606,0,0,0,0,0,0,10Sep / 5:13:01 PM
2,GazeGesture,big,20.000,up,4.281,3.317,0,3,0,1,2,1,10Sep / 5:13:07 PM
2,GazeGesture,big,20.000,down,3.127,1.463,0,0,0,0,0,0,10Sep / 5:13:12 PM
2,GazeGesture,medium,40.000,up,8.162,7.002,0,8,1,3,4,2,10Sep / 5:13:22 PM
2,GazeGesture,medium,40.000,down,1.623,2.510,0,1,0,1,0,0,10Sep / 5:13:27 PM
2,GazeGesture,medium,30.000,up,1.224,2.201,0,1,0,1,0,0,10Sep / 5:13:32 PM
2,GazeGesture,big,30.000,up,1.121,7.186,0,3,0,3,0,0,10Sep / 5:13:42 PM
2,GazeGesture,big,30.000,down,4.662,1.705,0,5,0,5,0,0,10Sep / 5:13:50 PM
2,GazeGesture,small,30.000,down,2.005,2.993,0,3,0,3,0,0,10Sep / 5:13:56 PM
2,GazeGesture,small,20.000,up,1.626,2.446,0,2,0,2,0,0,10Sep / 5:14:01 PM
2,GazeGesture,small,30.000,down,27.365,2.176,2,15,7,7,1,0,10Sep / 5:24:48 PM
2,GazeGesture,small,20.000,up,6.220,8.104,1,9,1,4,4,0,10Sep / 5:24:59 PM
2,GazeGesture,small,20.000,down,1.783,2.803,0,2,0,2,0,0,10Sep / 5:25:04 PM
2,GazeGesture,medium,30.000,down,1.559,2.382,0,10,1,2,7,0,10Sep / 5:25:08 PM
2,GazeGesture,medium,20.000,up,1.299,4.355,0,1,1,0,0,1,10Sep / 5:25:15 PM
2,GazeGesture,medium,20.000,down,1.538,2.415,0,0,0,0,0,0,10Sep / 5:25:24 PM
2,GazeGesture,medium,40.000,up,1.616,2.304,0,2,1,1,0,0,10Sep / 5:25:28 PM
2,GazeGesture,medium,40.000,down,1.785,2.381,0,3,0,3,0,0,10Sep / 5:25:32 PM
2,GazeGesture,medium,30.000,up,4.439,0.546,0,2,0,2,0,0,10Sep / 5:25:39 PM
1,ControllerClick,big,40.000,down,2.454,9999.000,0,0,0,0,0,9999,13Sep / 9:59:23 AM
1,ControllerClick,big,40.000,down,1.523,9999.000,0,0,0,0,0,9999,13Sep / 9:59:27 AM
1,ControllerClick,big,40.000,down,1.380,9999.000,0,0,0,0,0,9999,13Sep / 9:59:30 AM
1,ControllerClick,big,40.000,down,1.225,9999.000,0,0,0,0,0,9999,13Sep / 9:59:34 AM
1,ControllerClick,big,40.000,down,1.027,9999.000,0,0,0,0,0,9999,13Sep / 9:59:37 AM
1,ControllerClick,big,40.000,down,0.951,9999.000,0,1,0,1,0,9999,13Sep / 9:59:39 AM
1,ControllerClick,big,40.000,down,0.874,9999.000,0,0,0,0,0,9999,13Sep / 9:59:42 AM
1,ControllerClick,big,40.000,down,0.998,9999.000,0,0,0,0,0,9999,13Sep / 9:59:45 AM
1,ControllerClick,big,40.000,down,1.081,9999.000,0,0,0,0,0,9999,13Sep / 9:59:49 AM
1,ControllerClick,big,40.000,down,2.027,9999.000,0,0,0,0,0,9999,13Sep / 9:59:53 AM
1,ControllerClick,big,20.000,up,1.329,9999.000,0,0,0,0,0,9999,13Sep / 9:59:56 AM
1,ControllerClick,big,20.000,down,1.063,9999.000,0,0,0,0,0,9999,13Sep / 10:00:00 AM
1,ControllerClick,medium,40.000,up,1.154,9999.000,0,0,0,0,0,9999,13Sep / 10:00:03 AM
1,ControllerClick,medium,40.000,down,0.978,9999.000,0,0,0,0,0,9999,13Sep / 10:00:06 AM
1,ControllerClick,medium,30.000,up,0.912,9999.000,0,0,0,0,0,9999,13Sep / 10:00:09 AM
1,ControllerClick,medium,30.000,down,0.825,9999.000,0,0,0,0,0,9999,13Sep / 10:00:11 AM
1,ControllerClick,medium,20.000,up,0.938,9999.000,0,0,0,0,0,9999,13Sep / 10:00:14 AM
1,ControllerClick,medium,20.000,down,0.895,9999.000,0,1,0,1,0,9999,13Sep / 10:00:17 AM
1,ControllerClick,small,40.000,up,9.474,9999.000,0,2,0,1,1,9999,13Sep / 10:00:29 AM
1,ControllerClick,small,40.000,down,1.312,9999.000,0,1,0,1,0,9999,13Sep / 10:00:32 AM
1,ControllerClick,small,30.000,up,2.203,9999.000,0,1,0,0,1,9999,13Sep / 10:00:36 AM
1,ControllerClick,big,40.000,up,1.215,9999.000,0,0,0,0,0,9999,13Sep / 10:00:40 AM
1,ControllerClick,big,40.000,down,1.250,9999.000,0,0,0,0,0,9999,13Sep / 10:00:43 AM
1,GazeDwell,big,40.000,up,1.515,9999.000,0,0,0,0,0,9999,13Sep / 10:01:10 AM
1,GazeDwell,big,40.000,down,1.674,9999.000,0,0,0,0,0,9999,13Sep / 10:01:13 AM
1,GazeDwell,medium,30.000,down,1.620,9999.000,0,1,1,0,0,9999,13Sep / 10:01:17 AM
1,GazeDwell,medium,20.000,up,1.888,9999.000,0,1,0,1,0,9999,13Sep / 10:01:21 AM
1,GazeDwell,medium,20.000,down,1.857,9999.000,0,0,0,0,0,9999,13Sep / 10:01:25 AM
1,GazeDwell,big,20.000,up,1.637,9999.000,0,0,0,0,0,9999,13Sep / 10:01:29 AM
1,GazeDwell,big,20.000,down,1.538,9999.000,0,0,0,0,0,9999,13Sep / 10:01:32 AM
1,GazeDwell,small,30.000,down,2.862,9999.000,0,10,2,6,2,9999,13Sep / 10:01:37 AM
1,GazeDwell,small,20.000,up,2.587,9999.000,0,2,0,1,1,9999,13Sep / 10:01:42 AM
1,GazeDwell,small,20.000,down,2.933,9999.000,0,6,1,5,0,9999,13Sep / 10:01:47 AM
1,GazeDwell,big,30.000,up,1.535,9999.000,0,1,0,1,0,9999,13Sep / 10:01:51 AM
1,GazeDwell,big,30.000,down,1.470,9999.000,0,0,0,0,0,9999,13Sep / 10:01:54 AM
1,GazeDwell,medium,40.000,up,2.061,9999.000,0,5,0,2,3,9999,13Sep / 10:01:58 AM
1,GazeDwell,medium,40.000,down,2.351,9999.000,0,1,1,0,0,9999,13Sep / 10:02:03 AM
1,GazeDwell,medium,30.000,up,2.842,9999.000,0,0,0,0,0,9999,13Sep / 10:02:08 AM
1,GazeDwell,small,40.000,up,2.755,9999.000,0,20,2,14,4,9999,13Sep / 10:02:13 AM
1,GazeDwell,small,40.000,down,2.136,9999.000,0,9,1,7,1,9999,13Sep / 10:02:17 AM
1,GazeDwell,small,30.000,up,2.516,9999.000,0,7,1,4,2,9999,13Sep / 10:02:22 AM
1,GazeDwell,medium,40.000,up,2.341,9999.000,0,0,0,0,0,9999,13Sep / 10:02:26 AM
1,GazeDwell,medium,40.000,down,2.109,9999.000,0,0,0,0,0,9999,13Sep / 10:02:30 AM
1,GazeClick,medium,30.000,down,1.241,9999.000,0,2,0,2,0,9999,13Sep / 10:02:51 AM
1,GazeClick,medium,20.000,up,1.613,9999.000,0,3,1,1,1,9999,13Sep / 10:02:55 AM
1,GazeClick,medium,20.000,down,1.492,9999.000,0,5,0,5,0,9999,13Sep / 10:02:59 AM
1,GazeClick,big,20.000,up,1.283,9999.000,0,0,0,0,0,9999,13Sep / 10:03:03 AM
1,GazeClick,big,20.000,down,1.273,9999.000,0,1,0,1,0,9999,13Sep / 10:03:06 AM
1,GazeClick,small,40.000,up,4.206,9999.000,1,13,1,2,10,9999,13Sep / 10:03:12 AM
1,GazeClick,small,40.000,down,2.167,9999.000,0,9,1,7,1,9999,13Sep / 10:03:18 AM
1,GazeClick,small,30.000,up,2.358,9999.000,0,3,1,2,0,9999,13Sep / 10:03:23 AM
1,GazeClick,big,40.000,up,1.716,9999.000,0,0,0,0,0,9999,13Sep / 10:03:26 AM
1,GazeClick,big,40.000,down,1.362,9999.000,0,0,0,0,0,9999,13Sep / 10:03:30 AM
